,Location,Latitude,Longitude,Titles
0,Hamley,-34.0817399,137.599391,A Dark Nights Work
1,Eton,51.4885381,-0.6091736,A Dark Nights Work
2,London,51.5074456,-0.1277653,A Dark Nights Work
3,#¿NOMBRE?,9.5821089,-79.4688881,A Dark Nights Work
4,Paris,48.8588897,2.320041,A Dark Nights Work
5,Rome,41.8933203,12.4829321,A Dark Nights Work
6,England,52.5310214,-1.2649062,A Dark Nights Work
7,Scotland,56.7861112,-4.1140518,A Dark Nights Work
8,South Wales,51.6808582,-3.1305139,A Dark Nights Work
9,Cambridge,52.2055314,0.1186637,A Dark Nights Work
10,Ellinor,38.392241,-96.4319914,A Dark Nights Work
11,Shropshire,52.6523394,-2.6435641,A Dark Nights Work
12,Hartwell,34.3528825,-82.932087,A Dark Nights Work
13,Yorkshire,53.9825271,-1.38525,A Dark Nights Work
14,America,39.7837304,-100.445882,A Dark Nights Work
15,Liverpool,53.4071991,-2.99168,A Dark Nights Work
16,Easter,34.6456223,-102.3968676,A Dark Nights Work
17,Hinton,53.3990512,-117.5886772,A Dark Nights Work
18,August,37.979919,-121.2621572,A Dark Nights Work
19,Westley,37.5504905,-121.2101289,A Dark Nights Work
20,East Chester,44.564056,-64.221268,A Dark Nights Work
21,East Chester Close,52.8559769,-1.3883619,A Dark Nights Work
22,Norman,35.2225717,-97.4394816,A Dark Nights Work
23,Nova Zembla,75.1168415,58.6929463,A Dark Nights Work
24,Lyons,41.811108,-87.8232695,A Dark Nights Work
25,Marseilles,41.3308666,-88.7081293,A Dark Nights Work
26,Ireland,52.865196,-7.9794599,A Dark Nights Work
27,Tralee,52.2692116,-9.7057047,A Dark Nights Work
28,Midland,31.83688,-102.0103767,A Dark Nights Work
29,Civita,39.828804,16.312488,A Dark Nights Work
30,Ashcombe,50.6058344,-3.5367719,A Dark Nights Work
31,Elba,51.8675686,12.5785974,A Dark Nights Work
32,Hellingford,,,A Dark Nights Work
33,Botany Bay,-33.9815082,151.1796169,A Dark Nights Work
34,Heaven,51.507865,-0.1245597,A Dark Nights Work
35,Hyde Park Gardens,51.5130012,-0.1707441,A Dark Nights Work
36,East Chester Cathedral,39.8540996,-75.3512631,A Dark Nights Work
37,Bromham,52.1451088,-0.5339894,A Dark Nights Work
38,Cranford,40.656539,-74.3035794,cranford
39,Drumble,53.0680928,-2.274098,cranford
40,England,52.5310214,-1.2649062,cranford
41,London,51.5074456,-0.1277653,cranford
42,Coventry,52.4081812,-1.510477,cranford
43,Alderney,49.7169949,-2.196889,cranford
44,Edinburgh,55.9533456,-3.1883749,cranford
45,Edinbro â€™,,,cranford
46,Scotland,56.7861112,-4.1140518,cranford
47,Rome,41.8933203,12.4829321,cranford
48,India,22.3511148,78.6677428,cranford
49,Misselton,,,cranford
50,Woodley,51.4530441,-0.9046899,cranford
51,March,49.3597062,17.3094202,cranford
52,Paris,48.8534951,2.3483915,cranford
53,Idumea,36.7221049,-4.3529369,cranford
54,Etruria,53.0203844,-2.1984874,cranford
55,Newcastle - upon - Tyne,54.9738474,-1.6131572,cranford
56,Buonaparte,45.136189,8.8220671,cranford
57,Northumberland,55.25,-2.000559,cranford
58,Cumberland,40.1541581,-77.2803933,cranford
59,Newcastle,54.9738474,-1.6131572,cranford
60,Abaddon,43.5655331,-79.6142347,cranford
61,Shrewsbury,52.707755,-2.7540658,cranford
62,Ireland,52.865196,-7.9794599,cranford
63,Cambridge,52.2055314,0.1186637,cranford
64,Liverpool,53.4071991,-2.99168,cranford
65,Preference,35.6974216,139.6732105,cranford
