,Location,Latitude,Longitude,Titles
0,England,52.5310214,-1.2649062,A Connecticut Yankee
1,HARTFORD,41.764582,-72.6908547,A Connecticut Yankee
2,Whitsunday,-20.6939435,147.7217804,A Connecticut Yankee
3,Camelot,-33.9583333,18.6666667,A Connecticut Yankee
4,Arkansas,35.2048883,-92.4479108,A Connecticut Yankee
5,Carlion,35.8836337,-78.9281394,A Connecticut Yankee
6,Egypt,,,A Connecticut Yankee
7,India,22.3511148,78.6677428,A Connecticut Yankee
8,East Hartford,41.767914,-72.644512,A Connecticut Yankee
9,Land,60.2340258,9.8743057,A Connecticut Yankee
10,London,51.5074456,-0.1277653,A Connecticut Yankee
11,France,46.603354,1.8883335,A Connecticut Yankee
12,America,39.7837304,-100.445882,A Connecticut Yankee
13,Ireland,52.865196,-7.9794599,A Connecticut Yankee
14,Scotland,56.7861112,-4.1140518,A Connecticut Yankee
15,Gore,-46.0984482,168.9447811,A Connecticut Yankee
16,Columbus,39.9622601,-83.0007065,A Connecticut Yankee
17,Moder,48.8244784,7.7362027,A Connecticut Yankee
18,East Har--,-33.283392,26.5623743,A Connecticut Yankee
19,Connecticut,41.6500201,-72.7342163,A Connecticut Yankee
20,Britain,54.3151594,-1.9181532,A Connecticut Yankee
21,Arthur,41.5721288,-101.6974898,A Connecticut Yankee
22,Rome,41.8933203,12.4829321,A Connecticut Yankee
23,Columbia,4.099917,-72.9088133,A Connecticut Yankee
24,Palestine,31.7621153,-95.6307891,A Connecticut Yankee
25,the United States,47.8291375,-122.5970742,A Connecticut Yankee
26,Sheol,51.3844202,-116.222004,A Connecticut Yankee
27,La,20.0171109,103.378253,A Connecticut Yankee
28,Christendom,52.2596702,-7.0985056,A Connecticut Yankee
29,Arthurdom,,,A Connecticut Yankee
30,Lecky,53.6171453,-10.1218789,A Connecticut Yankee
31,Africa,11.5024338,17.7578122,A Connecticut Yankee
32,Asia,51.2086975,89.2343748,A Connecticut Yankee
33,West Point,41.3558443,-74.0078312,A Connecticut Yankee
34,Gaul,50.1813995,7.6535842,A Connecticut Yankee
35,Halibut,27.7366131,-97.4807283,A Connecticut Yankee
36,Cornwall,50.416667,-4.75,A Connecticut Yankee
37,South Astolat,-33.9082811,151.2445366,A Connecticut Yankee
38,Pisa,43.4714722,10.6797912,A Connecticut Yankee
39,Wayback,-33.8225802,151.0093458,A Connecticut Yankee
40,Paradise,36.0724299,-115.1474759,A Connecticut Yankee
41,Bagdemagus,,,A Connecticut Yankee
42,Cambenet,,,A Connecticut Yankee
43,Astolat,51.256838,-0.5402557,A Connecticut Yankee
44,West Hartford,41.7620447,-72.7420399,A Connecticut Yankee
45,Europe,51.0,10.0,A Connecticut Yankee
46,CENTRAL,14.6446934,121.0504257,A Connecticut Yankee
47,LOTHIAN,38.8297276,-76.6159457,A Connecticut Yankee
48,LITTLE BRITAIN,44.2855468,-78.8599597,A Connecticut Yankee
49,LABOR,45.4930144,13.7489699,A Connecticut Yankee
50,SYRIA,34.6401861,39.0494106,A Connecticut Yankee
51,Dover,51.1251275,1.3134228,A Connecticut Yankee
52,Canterbury,51.2800275,1.0802533,A Connecticut Yankee
53,his Duchy of Guienne,,,A Connecticut Yankee
54,Guienne,43.578027,5.4098335,A Connecticut Yankee
